Gene_ID,20H_20h_embryo_F,36H_4th_instar_36h_M,36H_4th_instar_36h_F,10D_Adult_10D_M,10D_Adult_10D_F,20D_Adult_20D_M,20D_Adult_20D_F,12H_4th_instar_12h_biololgical_replicate_1_M,12H_4th_instar_12h_biololgical_replicate_2_M,12H_4th_instar_12h_biololgical_replicate_3_M,12H_4th_instar_12h_biololgical_replicate_2_F,12H_4th_instar_12h_biololgical_replicate_3_F
AGAP006210,0,11.33014844,11.34555051,0,0.00686721,0.018585263,89.57368141,0.012542988,55.15818417,9.290276124,43.87251063,255.6722097
AGAP006214,0.26609093,0.023879838,0.09092069,0.030360432,0.034555684,0.062347149,0.104740489,0.056804493,0.127465002,0.108717467,0,0.133828523
AGAP006215,0.148987513,0.469730596,0.200951007,0.127493785,0.229122751,0.253548992,0.246928253,0.253886162,0.704301201,0.512608153,0.266237701,0.414099001
AGAP006216,0.224649456,16.59835523,6.317146688,4.832524272,6.802122343,7.464225109,5.547442482,6.859362925,15.89947876,8.002982285,8.315323054,8.223476123
AGAP006219,39.25826403,0.385472225,2.903407505,2.961806116,1.062251816,2.257876475,1.298682794,0.913625078,0.044729582,0.985561329,0.406455151,0.172196371
AGAP006220,0.989591364,17.46332848,8.506527586,24.04345642,13.5806207,20.94535909,5.907435075,18.32398699,13.63263047,8.628615789,8.404083772,6.04830427
AGAP006221,0.329280001,0.394717996,2.676207864,0.171745511,0.185218467,0.242130941,0.818021127,0.203589118,0.092049576,0.50014375,0.252793547,0.157495603
AGAP006222,0.265129904,2.055766414,4.120818022,17.25088611,5.757531993,28.53075891,10.87975973,9.531328122,3.057636805,5.232088749,5.941224106,3.740332354
AGAP006223,0.149114251,0.731229764,2.156314602,5.140547344,1.195072588,7.448475956,7.766652231,3.058200954,1.664571764,4.601937848,3.588481888,3.133759013
AGAP006224,0.505818426,0.812043549,1.82275067,2.513715263,1.064140778,2.983998308,2.507230856,1.369092176,0.982665903,2.418729046,1.418922942,1.11181237
AGAP006225,0.078153322,8.586234413,19.51684885,24.64929074,11.46088695,28.97362546,25.33771709,14.77923931,11.47378229,24.21699381,17.5354332,11.14879594
AGAP006226,0.065702879,9.663100214,6.032426884,3.825803528,2.221384956,2.972574579,13.03465267,1.897349187,14.48497129,11.23071966,16.92276502,10.42713372
AGAP006227,15.8278673,29.42660228,31.30476497,25.92379609,63.32183675,46.94864456,43.4289557,43.45195122,37.39257539,32.30742124,37.45746763,32.54328508
AGAP006228,5.937049943,36.04205123,25.59429207,22.84090069,17.81257601,19.43408855,36.07325777,20.08295523,36.43676556,40.92294537,40.84881639,41.24724177
AGAP006229,13.75244923,33.69088342,14.45316743,12.96477698,14.38104306,19.01853212,24.25243947,16.90539441,33.32623757,33.48997847,32.18331906,38.54569106
AGAP006231,6.874736522,0.959275108,2.739729533,3.340740427,2.668692175,3.103990318,2.87190024,3.47705599,1.137015804,2.000314434,2.069173207,1.746604011
AGAP006232,18.26936576,9.489129357,9.682314298,9.2198215,9.068928612,8.785828504,11.54387789,10.08374684,10.48425549,11.33077605,10.92763878,13.99650501
AGAP006233,0.776426671,2.433952045,1.714906256,0.842449163,4.888306417,1.415680509,2.887370444,5.911133059,4.068627659,2.33976582,2.991321299,3.236173094
AGAP006234,2.112108185,0.461840994,2.106446485,1.678959289,3.834451904,3.146401922,1.371569503,3.475118977,0.308149928,0.876090932,1.316066161,1.024524026
AGAP006235,7.696940502,2.532937635,4.157398507,5.67953411,4.008444844,4.998665917,3.466716675,3.309266667,1.240532122,2.830461787,3.310447483,1.593732368
AGAP006236,9.299756974,6.301975907,2.319890871,4.596333476,3.103608929,5.654233906,3.25791763,3.828250028,5.947133939,4.720178209,6.66508947,5.50689347
AGAP006237,9.166350142,14.81139537,4.168967405,3.999195249,3.647651729,4.99752078,6.643787766,4.243346976,15.84627828,10.47419106,11.93540576,13.57418223
AGAP006238,136.6461793,23.84606642,14.42328369,20.72722265,19.89748742,22.74843739,19.31368763,20.52209938,19.05877518,15.26995042,21.96245174,15.97225692
AGAP006239,5.879465339,6.88113727,3.372798028,4.635733538,4.578140082,5.166702988,4.417395597,4.62418171,7.76816371,4.561117477,5.892635216,5.378218004
AGAP006240,23.79482183,9.075801114,8.774886271,8.182418095,9.143661968,8.205681643,10.21232103,7.729849267,7.340610377,7.527158647,9.904780616,4.990196063
AGAP006241,3.870046426,0.452242161,0.19413331,0.621478408,6.032248717,0.229203523,0.097235331,4.967559672,0,0.383523892,0.077419569,0.024847814
