Gene_ID,Chr,Testes_Specific,Ovaries_Specific,variable,value,Population
AGAP000204,X,,,I_mean_FPKM,0.205780215,I
AGAP000205,X,-1,-1,I_mean_FPKM,0.384067161,I
AGAP000206,X,,,I_mean_FPKM,0.045412122,I
AGAP000209,X,-1,-1,I_mean_FPKM,0.162199881,I
AGAP000210,X,-1,-1,I_mean_FPKM,0.159647617,I
AGAP000211,X,-1,-1,I_mean_FPKM,0.116010388,I
AGAP000213,X,-1,-1,I_mean_FPKM,0.264338192,I
AGAP000214,X,-1,-1,I_mean_FPKM,8.46887717,I
AGAP000215,X,-1,-1,I_mean_FPKM,0.004563725,I
AGAP000216,X,1,-1,I_mean_FPKM,22.65946961,I
AGAP000217,X,-1,-1,I_mean_FPKM,0,I
AGAP000218,X,-1,-1,I_mean_FPKM,0.267526308,I
AGAP000219,X,-1,-1,I_mean_FPKM,0.004477324,I
AGAP000220,X,-1,-1,I_mean_FPKM,10.92598033,I
AGAP000222,X,-1,-1,I_mean_FPKM,7.615616507,I
AGAP000223,X,-1,-1,I_mean_FPKM,21.22661078,I
AGAP000225,X,-1,-1,I_mean_FPKM,0.008892837,I
AGAP000226,X,-1,-1,I_mean_FPKM,0,I
AGAP000228,X,-1,-1,I_mean_FPKM,0.239242565,I
AGAP000230,X,-1,-1,I_mean_FPKM,0,I
AGAP000232,X,-1,-1,I_mean_FPKM,0,I
AGAP000233,X,-1,-1,I_mean_FPKM,0.029700795,I
AGAP000234,X,-1,-1,I_mean_FPKM,7.890449793,I
AGAP000235,X,-1,-1,I_mean_FPKM,210.8720856,I
AGAP000236,X,-1,-1,I_mean_FPKM,1.243334509,I
AGAP000237,X,-1,-1,I_mean_FPKM,0.670576241,I
AGAP000238,X,-1,-1,I_mean_FPKM,0.477166892,I
AGAP000239,X,-1,-1,I_mean_FPKM,0.02039672,I
AGAP000240,X,-1,-1,I_mean_FPKM,1.127754691,I
AGAP000241,X,-1,-1,I_mean_FPKM,1.90637323,I
AGAP000242,X,-1,-1,I_mean_FPKM,36.99508501,I
AGAP000243,X,-1,-1,I_mean_FPKM,1.541355376,I
AGAP000244,X,,,I_mean_FPKM,20.76879179,I
